,enviro,observer,task,ori,offset,proportion_correct,date
0,lab,p0,temporal,horizontal,0.71,0.8,28d9m2021y16h14m
1,lab,p0,temporal,horizontal,0.71,0.5,28d9m2021y14h40m
2,lab,p0,temporal,horizontal,0.71,0.8,28d9m2021y15h21m
3,lab,p0,temporal,horizontal,0.71,0.7,28d9m2021y15h53m
4,lab,p0,temporal,horizontal,0.71,0.6,28d9m2021y14h34m
5,lab,p0,temporal,horizontal,1.43,0.9,28d9m2021y16h14m
6,lab,p0,temporal,horizontal,1.43,1.0,28d9m2021y14h40m
7,lab,p0,temporal,horizontal,1.43,0.8,28d9m2021y15h21m
8,lab,p0,temporal,horizontal,1.43,0.5,28d9m2021y15h53m
9,lab,p0,temporal,horizontal,1.43,0.8,28d9m2021y14h34m
10,lab,p0,temporal,horizontal,2.14,1.0,28d9m2021y16h14m
11,lab,p0,temporal,horizontal,2.14,1.0,28d9m2021y14h40m
12,lab,p0,temporal,horizontal,2.14,0.9,28d9m2021y15h21m
13,lab,p0,temporal,horizontal,2.14,1.0,28d9m2021y15h53m
14,lab,p0,temporal,horizontal,2.14,0.9,28d9m2021y14h34m
15,lab,p0,temporal,horizontal,2.86,0.9,28d9m2021y16h14m
16,lab,p0,temporal,horizontal,2.86,1.0,28d9m2021y14h40m
17,lab,p0,temporal,horizontal,2.86,1.0,28d9m2021y15h21m
18,lab,p0,temporal,horizontal,2.86,0.9,28d9m2021y15h53m
19,lab,p0,temporal,horizontal,2.86,1.0,28d9m2021y14h34m
20,lab,p0,temporal,horizontal,3.57,1.0,28d9m2021y16h14m
21,lab,p0,temporal,horizontal,3.57,1.0,28d9m2021y14h40m
22,lab,p0,temporal,horizontal,3.57,0.8,28d9m2021y15h21m
23,lab,p0,temporal,horizontal,3.57,1.0,28d9m2021y15h53m
24,lab,p0,temporal,horizontal,3.57,1.0,28d9m2021y14h34m
25,lab,p0,temporal,horizontal,4.29,0.9,28d9m2021y16h14m
26,lab,p0,temporal,horizontal,4.29,1.0,28d9m2021y14h40m
27,lab,p0,temporal,horizontal,4.29,1.0,28d9m2021y15h21m
28,lab,p0,temporal,horizontal,4.29,1.0,28d9m2021y15h53m
29,lab,p0,temporal,horizontal,4.29,1.0,28d9m2021y14h34m
30,lab,p0,temporal,horizontal,5.0,1.0,28d9m2021y16h14m
31,lab,p0,temporal,horizontal,5.0,0.9,28d9m2021y14h40m
32,lab,p0,temporal,horizontal,5.0,0.9,28d9m2021y15h21m
33,lab,p0,temporal,horizontal,5.0,1.0,28d9m2021y15h53m
34,lab,p0,temporal,horizontal,5.0,1.0,28d9m2021y14h34m
35,lab,p0,temporal,vertical,0.71,0.7,28d9m2021y14h16m
36,lab,p0,temporal,vertical,0.71,0.9,28d9m2021y16h23m
37,lab,p0,temporal,vertical,0.71,0.5,28d9m2021y15h4m
38,lab,p0,temporal,vertical,0.71,0.8,28d9m2021y16h0m
39,lab,p0,temporal,vertical,0.71,0.5,28d9m2021y14h58m
40,lab,p0,temporal,vertical,1.43,0.7,28d9m2021y14h16m
41,lab,p0,temporal,vertical,1.43,1.0,28d9m2021y16h23m
42,lab,p0,temporal,vertical,1.43,0.7,28d9m2021y15h4m
43,lab,p0,temporal,vertical,1.43,0.7,28d9m2021y16h0m
44,lab,p0,temporal,vertical,1.43,1.0,28d9m2021y14h58m
45,lab,p0,temporal,vertical,2.14,1.0,28d9m2021y14h16m
46,lab,p0,temporal,vertical,2.14,1.0,28d9m2021y16h23m
47,lab,p0,temporal,vertical,2.14,1.0,28d9m2021y15h4m
48,lab,p0,temporal,vertical,2.14,1.0,28d9m2021y16h0m
49,lab,p0,temporal,vertical,2.14,0.9,28d9m2021y14h58m
50,lab,p0,temporal,vertical,2.86,1.0,28d9m2021y14h16m
51,lab,p0,temporal,vertical,2.86,1.0,28d9m2021y16h23m
52,lab,p0,temporal,vertical,2.86,1.0,28d9m2021y15h4m
53,lab,p0,temporal,vertical,2.86,1.0,28d9m2021y16h0m
54,lab,p0,temporal,vertical,2.86,1.0,28d9m2021y14h58m
55,lab,p0,temporal,vertical,3.57,1.0,28d9m2021y14h16m
56,lab,p0,temporal,vertical,3.57,1.0,28d9m2021y16h23m
57,lab,p0,temporal,vertical,3.57,1.0,28d9m2021y15h4m
58,lab,p0,temporal,vertical,3.57,1.0,28d9m2021y16h0m
59,lab,p0,temporal,vertical,3.57,1.0,28d9m2021y14h58m
60,lab,p0,temporal,vertical,4.29,0.9,28d9m2021y14h16m
61,lab,p0,temporal,vertical,4.29,0.9,28d9m2021y16h23m
62,lab,p0,temporal,vertical,4.29,1.0,28d9m2021y15h4m
63,lab,p0,temporal,vertical,4.29,1.0,28d9m2021y16h0m
64,lab,p0,temporal,vertical,4.29,1.0,28d9m2021y14h58m
65,lab,p0,temporal,vertical,5.0,0.8,28d9m2021y14h16m
66,lab,p0,temporal,vertical,5.0,0.9,28d9m2021y16h23m
67,lab,p0,temporal,vertical,5.0,0.9,28d9m2021y15h4m
68,lab,p0,temporal,vertical,5.0,1.0,28d9m2021y16h0m
69,lab,p0,temporal,vertical,5.0,1.0,28d9m2021y14h58m
70,lab,p0,temporal,minus45,10.71,1.0,28d9m2021y14h27m
71,lab,p0,temporal,minus45,10.71,1.0,28d9m2021y15h50m
72,lab,p0,temporal,minus45,10.71,0.6,28d9m2021y15h13m
73,lab,p0,temporal,minus45,10.71,1.0,28d9m2021y14h48m
74,lab,p0,temporal,minus45,10.71,1.0,28d9m2021y16h17m
75,lab,p0,temporal,minus45,14.29,0.7,28d9m2021y14h27m
76,lab,p0,temporal,minus45,14.29,1.0,28d9m2021y15h50m
77,lab,p0,temporal,minus45,14.29,0.9,28d9m2021y15h13m
78,lab,p0,temporal,minus45,14.29,1.0,28d9m2021y14h48m
79,lab,p0,temporal,minus45,14.29,0.9,28d9m2021y16h17m
80,lab,p0,temporal,minus45,17.86,1.0,28d9m2021y14h27m
81,lab,p0,temporal,minus45,17.86,1.0,28d9m2021y15h50m
82,lab,p0,temporal,minus45,17.86,0.8,28d9m2021y15h13m
83,lab,p0,temporal,minus45,17.86,1.0,28d9m2021y14h48m
84,lab,p0,temporal,minus45,17.86,1.0,28d9m2021y16h17m
85,lab,p0,temporal,minus45,21.43,1.0,28d9m2021y14h27m
86,lab,p0,temporal,minus45,21.43,0.9,28d9m2021y15h50m
